section,filename,function,address,end
init,init_19B50,func_1001A39C,0x1001A39C,0x1001A3E0
init,init_19B50,func_1001A3E0,0x1001A3E0,0x1001A3FC
init,init_19B50,func_1001A3FC,0x1001A3FC,0x1001A45C
init,init_19B50,func_1001A45C,0x1001A45C,0x1001A508
init,init_19B50,func_1001A508,0x1001A508,0x1001A704
init,init_19B50,func_1001A704,0x1001A704,0x1001A9DC
init,init_19B50,func_1001A9DC,0x1001A9DC,0x1001AA08
init,init_19B50,func_1001AA08,0x1001AA08,0x1001AAE0
init,init_1AAE0,func_1001AAE0,0x1001AAE0,0x1001ABA0
init,init_1AAE0,__n_seqpReleaseVoice,0x1001ABA0,0x1001ADA4
init,init_1AAE0,func_1001ADA4,0x1001ADA4,0x1001AF28
init,init_1AAE0,__n_mapVoice,0x1001AF28,0x1001AFEC
init,init_1AAE0,func_1001AFEC,0x1001AFEC,0x1001B07C
init,init_1AAE0,func_1001B07C,0x1001B07C,0x1001B200
init,init_1AAE0,__n_vsVol,0x1001B200,0x1001B310
init,init_1AAE0,func_1001B310,0x1001B310,0x1001B40C
init,init_1AAE0,__n_vsDelta,0x1001B40C,0x1001B450
init,init_1AAE0,__n_vsPan,0x1001B450,0x1001B4D4
init,init_1AAE0,__n_initFromBank,0x1001B4D4,0x1001B59C
init,init_1AAE0,__n_initChanState,0x1001B59C,0x1001B620
init,init_1AAE0,__n_resetPerfChanState,0x1001B620,0x1001B7D0
init,init_1AAE0,func_1001B7D0,0x1001B7D0,0x1001BD34
init,init_1AAE0,func_1001BD34,0x1001BD34,0x1001BE1C
init,init_1AAE0,func_1001BE1C,0x1001BE1C,0x1001BE94
init,init_1AAE0,__n_seqpStopOsc,0x1001BE94,0x1001C060
init,init_1C060,n_alEvtqNew,0x1001C060,0x1001C108
init,init_1C060,n_alEvtqNextEvent,0x1001C108,0x1001C224
init,init_1C060,n_alEvtqPostEvent,0x1001C224,0x1001C4F0
init,init_1C060,func_1001C4F0,0x1001C4F0,0x1001C690
init,n_synaddplayer,n_alSynAddPlayer,0x1001C690,0x1001C700
init,n_synaddplayer,n_alSynAddSndPlayer,0x1001C700,0x1001C770
init,n_synstopvoice,n_alSynStopVoice,0x1001C770,0x1001C810
init,n_synfreevoice,n_alSynFreeVoice,0x1001C810,0x1001C910
init,n_synsetvol,n_alSynSetVol,0x1001C910,0x1001C9E0
init,n_synsetpitch,n_alSynSetPitch,0x1001C9E0,0x1001CA90
init,n_synsetpitch2,func_1001CA90,0x1001CA90,0x1001CB40
init,n_synsetpan,n_alSynSetPan,0x1001CB40,0x1001CBF0
init,init_1CBF0,func_1001CBF0,0x1001CBF0,0x1001CD54
init,init_1CBF0,init_lpfilter,0x1001CD54,0x1001CEA4
init,init_1CBF0,func_1001CEA4,0x1001CEA4,0x1001CF38
init,init_1CBF0,func_1001CF38,0x1001CF38,0x1001D124
init,init_1CBF0,n_alFxNew,0x1001D124,0x1001D6E8
init,init_1CBF0,alN_PVoiceNew,0x1001D6E8,0x1001D900
init,init_1D900,n_alSynSetFXMix,0x1001D900,0x1001D9B0
init,init_1D900,func_1001D9B0,0x1001D9B0,0x1001DA28
init,init_1D900,func_1001DA28,0x1001DA28,0x1001DAA0
init,init_1D900,func_1001DAA0,0x1001DAA0,0x1001DAE4
init,init_1D900,func_1001DAE4,0x1001DAE4,0x1001DBA0
init,n_cseqnextdelta,__alCSeqNextDelta,0x1001DBA0,0x1001DC80
